,Incident Type,Response Time,minute
5336,Utility+AC0-Water Service Line,437,60
7420,Utility+AC0-Water Main,33,60
5355,Utility+AC0-Other,1756,60
5356,Utility+AC0-Other,52,60
5373,Utility+AC0-Gas High Pressure,430,60
7422,Utility+AC0-Water Main,1023,60
7421,Utility+AC0-Gas Main Rupture,82,60
7425,Utility+AC0-Other,252,60
7429,Utility+AC0-Other,1155,60
7430,Utility+AC0-Manhole,593,60
5377,Utility+AC0-Water Main,1674,60
5381,Utility+AC0-Water Service Line,1771,60
5375,Utility+AC0-Other,57,60
5382,Utility+AC0-Water Main,442,60
5384,Utility+AC0-Water Main,1060,60
5383,Utility+AC0-Other,343,60
5403,Utility+AC0-Other,1981,60
7438,Utility+AC0-Other,103,60
5422,Utility+AC0-Other,2646,60
7442,Utility+AC0-Other,214,60
5385,Utility+AC0-Water Main,229,60
5401,Utility+AC0-Other,210,60
5402,Utility+AC0-Water Main,168,60
5404,Utility+AC0-Water Service Line,140,60
5421,Utility+AC0-Water Service Line,125,60
5446,Utility+AC0-Water Service Line,102,60
5464,Utility+AC0-Gas High Pressure,192,60
5479,Utility+AC0-Gas Service Line,334,60
7447,Utility+AC0-Water Service Line,782,60
7446,Utility+AC0-Water Main,609,60
7449,Utility+AC0-Water Main,1537,60
7448,Utility+AC0-Other,340,60
5480,Utility+AC0-Water Main,869,60
7451,Utility+AC0-Power Outage,370,60
5481,Utility+AC0-Water Main,474,60
5503,Utility+AC0-Water Main,1328,60
5520,Utility+AC0-Water Main,900,60
5536,Utility+AC0-Other,958,60
5535,Utility+AC0-Power Outage,338,60
5534,Utility+AC0-Sewer Service,151,60
5539,Utility+AC0-Water Main,375,60
7456,Utility+AC0-Power Outage,56,60
7459,Utility+AC0-Other,369,60
5694,Utility+AC0-Water Main,2951,60
5542,Utility+AC0-Other,225,60
5582,Utility+AC0-Cable TV,1748,60
5576,Utility+AC0-Water Service Line,286,60
