Incident Type,Creation Date,Response Time,Incident Number
Fire-Haz Mat,2016-03-02,157,11
Fire-Other,2016-03-02,40,17
Fire-10-76 (Commercial High Rise Fire),2016-03-04,197,15
Fire-2nd Alarm,2016-03-05,64,2
Fire-10-76 (Commercial High Rise Fire),2016-03-06,98,15
Fire-2nd Alarm,2016-03-07,55,2
Fire-2nd Alarm,2016-03-09,599,2
Fire-2nd Alarm,2016-03-09,102,2
Fire-2nd Alarm,2016-03-10,173,2
Fire-2nd Alarm,2016-03-10,226,2
Fire-10-77 (Residential High Rise Fire),2016-03-11,66,16
Fire-3rd Alarm,2016-03-13,163,5
Fire-3rd Alarm,2016-03-13,150,5
Fire-2nd Alarm,2016-03-14,133,2
Fire-Manhole,2016-03-17,68,8
Fire-1st Alarm,2016-03-18,217,4
Fire-2nd Alarm,2016-03-21,152,2
Fire-Sensitive Location,2016-03-22,129,6
Fire-2nd Alarm,2016-03-22,143,2
Fire-2nd Alarm,2016-03-23,3824,2
Fire-Haz Mat,2016-03-24,147,11
Fire-School,2016-03-25,93,3
Fire-2nd Alarm,2016-03-26,2663,2
Fire-2nd Alarm,2016-03-28,2947,2
Fire-3rd Alarm,2016-03-29,218,5
Fire-Haz Mat,2016-03-31,505,11
Fire-Collapse,2016-04-03,765,14
Fire-10-77 (Residential High Rise Fire),2016-04-06,175,16
Fire-3rd Alarm,2016-04-07,738,5
Fire-2nd Alarm,2016-04-10,104,2
Fire-2nd Alarm,2016-04-13,143,2
Fire-3rd Alarm,2016-04-13,373,5
Fire-2nd Alarm,2016-04-16,364,2
Fire-2nd Alarm,2016-04-18,117,2
Fire-2nd Alarm,2016-04-18,2428,2
Fire-2nd Alarm,2016-04-18,218,2
Fire-2nd Alarm,2016-04-19,2141,2
Fire-4th Alarm,2016-04-19,778,1
Fire-2nd Alarm,2016-04-20,176,2
Fire-2nd Alarm,2016-04-20,78,2
Fire-Haz Mat,2016-04-23,322,11
Fire-2nd Alarm,2016-04-24,177,2
Fire-2nd Alarm,2016-04-24,63,2
Fire-Sensitive Location,2016-04-24,52,6
Fire-Haz Mat,2016-04-28,169,11
Fire-2nd Alarm,2016-04-29,150,2
Fire-Sensitive Location,2016-05-13,89,6
Fire-Haz Mat,2016-05-13,896,11
Fire-2nd Alarm,2016-05-15,141,2
Fire-10-77 (Residential High Rise Fire),2016-05-15,66,16
Fire-1st Alarm,2016-05-16,1174,4
Fire-Other,2016-05-19,316,17
Fire-2nd Alarm,2016-05-29,128,2
Fire-2nd Alarm,2016-05-30,473,2
Fire-2nd Alarm,2016-06-01,140,2
Fire-1st Alarm,2016-06-05,166,4
Fire-1st Alarm,2016-06-05,70,4
Fire-2nd Alarm,2016-06-07,332,2
Fire-Other,2016-06-11,953,17
Fire-2nd Alarm,2016-06-14,4,2
Fire-2nd Alarm,2016-06-14,230,2
Fire-1st Alarm,2016-06-14,69,4
Fire-1st Alarm,2016-06-15,213,4
Fire-1st Alarm,2016-06-22,46,4
Fire-1st Alarm,2016-06-22,230,4
Fire-10-76 (Commercial High Rise Fire),2016-07-02,100,15
Fire-Sensitive Location,2016-07-06,168,6
Fire-3rd Alarm,2016-07-07,1217,5
Fire-Explosion,2016-07-08,57,9
Fire-2nd Alarm,2016-07-24,80,2
Fire-Hospital,2016-07-25,64,7
Fire-3rd Alarm,2016-08-02,3445,5
Fire-3rd Alarm,2016-08-02,245,5
Fire-5th Alarm,2016-08-03,3857,13
Fire-10-76 (Commercial High Rise Fire),2016-08-09,99,15
Fire-4th Alarm,2016-08-09,1196,1
Fire-1st Alarm,2016-08-09,219,4
Fire-2nd Alarm,2016-08-13,1025,2
Fire-Manhole,2016-08-19,35,8
Fire-1st Alarm,2016-08-20,1347,4
Fire-Sensitive Location,2016-08-21,83,6
Fire-2nd Alarm,2016-08-22,93,2
Fire-2nd Alarm,2016-08-22,124,2
Fire-Manhole,2016-08-22,273,8
Fire-10-77 (Residential High Rise Fire),2016-08-23,46,16
Fire-Sensitive Location,2016-08-25,158,6
Fire-2nd Alarm,2016-08-25,102,2
Fire-2nd Alarm,2016-08-25,170,2
Fire-2nd Alarm,2016-08-26,227,2
Fire-1st Alarm,2016-08-26,111,4
Fire-4th Alarm,2016-09-03,305,1
Fire-10-76 (Commercial High Rise Fire),2016-09-05,45,15
Fire-Manhole,2016-09-08,1110,8
Fire-10-77 (Residential High Rise Fire),2016-09-09,29,16
Fire-2nd Alarm,2016-09-09,320,2
Fire-2nd Alarm,2016-09-11,67,2
Fire-Explosion,2016-09-21,65,9
