Incident Type,Creation Date,Response Time,Incident Number
Structural-Life Safety Violations,2015-02-18,188,6
Structural-Construction Accident,2015-02-24,167,1
Structural-Life Safety Violations,2015-02-26,345,6
Structural-Scaffold,2015-02-26,434,3
Structural-Life Safety Violations,2015-02-28,106,6
Structural-Scaffold,2015-03-03,456,3
Structural-Street Collapse,2015-03-03,634,7
Structural-Bricks,2015-03-08,94,4
Structural-Partial Collapse,2015-03-10,38,12
Structural-Scaffold,2015-03-12,173,3
Structural-Other,2015-03-15,39,8
Structural-Scaffold,2015-03-17,868,3
Structural-Other,2015-03-29,1079,8
Structural-Construction Accident,2015-04-01,112,1
Structural-Partial Collapse,2015-04-03,531,12
Structural-Partial Collapse,2015-04-07,158,12
Structural-Bricks,2015-04-20,2896,4
Structural-Construction Accident,2015-04-21,89,1
Structural-Other,2015-04-21,1438,8
Structural-Scaffold,2015-04-22,386,3
Structural-Collapse,2015-04-28,142,5
Structural-Life Safety Violations,2015-05-01,234,6
Structural-Construction Accident,2015-05-05,225,1
Structural-Falling Debris,2015-05-05,68,10
Structural-Street Collapse,2015-05-11,1892,7
Structural-Other,2015-05-13,186,8
Structural-Stability Problem,2015-05-16,152,11
Structural-Bricks,2015-05-17,1862,4
Structural-Construction Accident,2015-05-19,815,1
Structural-Stability Problem,2015-05-21,194,11
Structural-Construction Accident,2015-05-22,48,1
Structural-Partial Collapse,2015-05-26,213,12
Structural-Street Collapse,2015-05-31,636,7
Structural-Street Collapse,2015-06-01,1705,7
Structural-Stability Problem,2015-06-04,141,11
Structural-Stability Problem,2015-06-05,3641,11
Structural-Other,2015-06-09,906,8
Structural-Confined Space,2015-06-12,0,2
Structural-Scaffold,2015-06-12,103,3
Structural-Street Collapse,2015-06-15,386,7
Structural-Construction Accident,2015-06-18,120,1
Structural-Scaffold,2015-06-18,70,3
Structural-Bricks,2015-06-21,725,4
Structural-Collapse,2015-06-22,169,5
Structural-Street Collapse,2015-06-24,71,7
Structural-Other,2015-06-25,143,8
Structural-Other,2015-06-26,446,8
Structural-Bricks,2015-06-27,2004,4
Structural-Partial Collapse,2015-07-03,67,12
Structural-Partial Collapse,2015-07-08,73,12
Structural-Falling Debris,2015-07-14,54,10
Structural-Construction Accident,2015-07-14,89,1
Structural-Stability Problem,2015-07-16,1186,11
Structural-Other,2015-07-19,53,8
Structural-Bricks,2015-07-19,19,4
Structural-Scaffold,2015-07-23,2255,3
