Incident Type,Creation Date,Response Time,Incident Number
Utility-Water Main,2014-01-05,454,2
Utility-Water Main,2014-01-05,2012,2
Utility-Power Outage,2014-01-06,431,4
Utility-Manhole,2014-01-07,169,5
Utility-Water Main,2014-01-07,756,2
Utility-Water Main,2014-01-07,62,2
Utility-Water Service Line,2014-01-07,120,6
Utility-Water Main,2014-01-07,106,2
Utility-Power Outage,2014-01-08,537,4
Utility-Power Outage,2014-01-09,149,4
Utility-Water Main,2014-01-09,233,2
Utility-Water Service Line,2014-01-10,189,6
Utility-Water Service Line,2014-01-14,144,6
Utility-Water Main,2014-01-15,1147,2
Utility-Manhole,2014-01-22,469,5
Utility-Manhole,2014-01-22,1343,5
Utility-Manhole,2014-01-23,42,5
Utility-Manhole,2014-01-23,1787,5
Utility-Water Service Line,2014-01-23,96,6
Utility-Water Main,2014-01-24,866,2
Utility-Water Main,2014-01-24,1834,2
Utility-Water Service Line,2014-01-25,422,6
Utility-Water Main,2014-01-25,3480,2
Utility-Water Main,2014-01-26,222,2
Utility-Water Service Line,2014-01-27,1603,6
Utility-Water Main,2014-01-28,1175,2
Utility-Water Main,2014-01-31,726,2
Utility-Water Main,2014-02-03,66,2
Utility-Water Main,2014-02-05,786,2
Utility-Water Service Line,2014-02-13,1590,6
Utility-Gas Service Line,2014-02-16,80,7
Utility-Water Service Line,2014-02-23,501,6
Utility-Water Main,2014-02-23,1396,2
Utility-Water Main,2014-02-25,131,2
Utility-Power Outage,2014-02-25,192,4
Utility-Gas High Pressure,2014-02-27,80,8
Utility-Gas High Pressure,2014-03-06,545,8
Utility-Water Main,2014-03-19,1489,2
